Model,Accuracy,Precision,Recall,F1_Weighted,F1_Macro
LogisticRegression,0.9119565217391304,0.9407631617672029,0.9119565217391304,0.9161966721568501,0.8360167347672611
RandomForest,0.95,0.9503558908847428,0.95,0.9501068603787063,0.8887039074606403
XGBoost,0.9543478260869566,0.9550736556064073,0.9543478260869566,0.9544988671917143,0.8986765922249793
LSTM,0.9659420289855073,0.96972049689441,0.9659420289855073,0.9651233277591974,0.9209134615384617
