dataset,model,version,horizon,accuracy,precision,recall,f1_weighted,f1_macro,confusion_matrix,classification_report,train_acc,val_acc
B_weather_temporal_t+12,XGBoost,B_weather_temporal,t+12,0.9297413793103448,0.9328157913164487,0.9297413793103448,0.9306065608398434,0.8612214791760908,"[[ 364   36    0]
 [  87  233    0]
 [   0   40 1560]]","{'Low': {'precision': 0.8070953436807096, 'recall': 0.91, 'f1-score': 0.8554641598119859, 'support': 400.0}, 'Medium': {'precision': 0.7540453074433657, 'recall': 0.728125, 'f1-score': 0.7408585055643879, 'support': 320.0}, 'High': {'precision': 1.0, 'recall': 0.975, 'f1-score': 0.9873417721518988, 'support': 1600.0}, 'accuracy': 0.9297413793103448, 'macro avg': {'precision': 0.8537135503746919, 'recall': 0.8710416666666667, 'f1-score': 0.8612214791760908, 'support': 2320.0}, 'weighted avg': {'precision': 0.9328157913164487, 'recall': 0.9297413793103448, 'f1-score': 0.9306065608398434, 'support': 2320.0}}",,
B_weather_temporal_t+12,LSTM,B_weather_temporal,t+12,0.8922413793103449,0.908139654051492,0.8922413793103449,0.8980912577727228,0.8157053721035595,"[[ 353   47    0]
 [  91  229    0]
 [   0  112 1488]]","{'Low': {'precision': 0.795045045045045, 'recall': 0.8825, 'f1-score': 0.8364928909952607, 'support': 400.0}, 'Medium': {'precision': 0.5902061855670103, 'recall': 0.715625, 'f1-score': 0.6468926553672316, 'support': 320.0}, 'High': {'precision': 1.0, 'recall': 0.93, 'f1-score': 0.9637305699481865, 'support': 1600.0}, 'accuracy': 0.8922413793103449, 'macro avg': {'precision': 0.7950837435373518, 'recall': 0.8427083333333334, 'f1-score': 0.8157053721035595, 'support': 2320.0}, 'weighted avg': {'precision': 0.908139654051492, 'recall': 0.8922413793103449, 'f1-score': 0.8980912577727228, 'support': 2320.0}}",0.979306697845459,0.9869047403335571
B_weather_temporal_t+24,LogisticRegression,B_weather_temporal,t+24,0.8641304347826086,0.9063472638680661,0.8641304347826086,0.8765139467606698,0.7993782195151615,"[[ 338    0    0]
 [  62  160    0]
 [   0  188 1092]]","{'Low': {'precision': 0.845, 'recall': 1.0, 'f1-score': 0.9159891598915989, 'support': 338.0}, 'Medium': {'precision': 0.45977011494252873, 'recall': 0.7207207207207207, 'f1-score': 0.5614035087719298, 'support': 222.0}, 'High': {'precision': 1.0, 'recall': 0.853125, 'f1-score': 0.9207419898819561, 'support': 1280.0}, 'accuracy': 0.8641304347826086, 'macro avg': {'precision': 0.768256704980843, 'recall': 0.8579485735735736, 'f1-score': 0.7993782195151615, 'support': 1840.0}, 'weighted avg': {'precision': 0.9063472638680661, 'recall': 0.8641304347826086, 'f1-score': 0.8765139467606698, 'support': 1840.0}}",,
B_weather_temporal_t+24,RandomForest,B_weather_temporal,t+24,0.9505434782608696,0.9507887677904084,0.9505434782608696,0.949708960237845,0.8834130064504911,"[[ 309   29    0]
 [  62  160    0]
 [   0    0 1280]]","{'Low': {'precision': 0.8328840970350404, 'recall': 0.9142011834319527, 'f1-score': 0.8716502115655853, 'support': 338.0}, 'Medium': {'precision': 0.8465608465608465, 'recall': 0.7207207207207207, 'f1-score': 0.7785888077858881, 'support': 222.0}, 'High': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1280.0}, 'accuracy': 0.9505434782608696, 'macro avg': {'precision': 0.8931483145319623, 'recall': 0.8783073013842245, 'f1-score': 0.8834130064504911, 'support': 1840.0}, 'weighted avg': {'precision': 0.9507887677904084, 'recall': 0.9505434782608696, 'f1-score': 0.949708960237845, 'support': 1840.0}}",,
B_weather_temporal_t+24,XGBoost,B_weather_temporal,t+24,0.9586956521739131,0.9607868345619937,0.9586956521739131,0.9575615632665836,0.9010361441300668,"[[ 324   14    0]
 [  62  160    0]
 [   0    0 1280]]","{'Low': {'precision': 0.8393782383419689, 'recall': 0.9585798816568047, 'f1-score': 0.8950276243093923, 'support': 338.0}, 'Medium': {'precision': 0.9195402298850575, 'recall': 0.7207207207207207, 'f1-score': 0.8080808080808081, 'support': 222.0}, 'High': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1280.0}, 'accuracy': 0.9586956521739131, 'macro avg': {'precision': 0.9196394894090089, 'recall': 0.8931002007925084, 'f1-score': 0.9010361441300668, 'support': 1840.0}, 'weighted avg': {'precision': 0.9607868345619937, 'recall': 0.9586956521739131, 'f1-score': 0.9575615632665836, 'support': 1840.0}}",,
B_weather_temporal_t+24,LSTM,B_weather_temporal,t+24,0.9293478260869565,0.9321759044979331,0.9293478260869565,0.9298359266508393,0.8584779717553807,"[[ 324   14    0]
 [  62  153    7]
 [   0   47 1233]]","{'Low': {'precision': 0.8393782383419689, 'recall': 0.9585798816568047, 'f1-score': 0.8950276243093923, 'support': 338.0}, 'Medium': {'precision': 0.7149532710280374, 'recall': 0.6891891891891891, 'f1-score': 0.7018348623853211, 'support': 222.0}, 'High': {'precision': 0.9943548387096774, 'recall': 0.96328125, 'f1-score': 0.9785714285714285, 'support': 1280.0}, 'accuracy': 0.9293478260869565, 'macro avg': {'precision': 0.8495621160265613, 'recall': 0.8703501069486647, 'f1-score': 0.8584779717553807, 'support': 1840.0}, 'weighted avg': {'precision': 0.9321759044979331, 'recall': 0.9293478260869565, 'f1-score': 0.9298359266508393, 'support': 1840.0}}",0.9838674068450928,0.9906716346740723
C_full_t+6,LogisticRegression,C_full,t+6,0.9125,0.917220222513089,0.9125,0.9145474314353571,0.8348552425800939,"[[ 404   76    0]
 [ 101  259    0]
 [   0   47 1673]]","{'Low': {'precision': 0.8, 'recall': 0.8416666666666667, 'f1-score': 0.8203045685279188, 'support': 480.0}, 'Medium': {'precision': 0.6780104712041884, 'recall': 0.7194444444444444, 'f1-score': 0.6981132075471698, 'support': 360.0}, 'High': {'precision': 1.0, 'recall': 0.9726744186046512, 'f1-score': 0.9861479516651931, 'support': 1720.0}, 'accuracy': 0.9125, 'macro avg': {'precision': 0.8260034904013961, 'recall': 0.8445951765719207, 'f1-score': 0.8348552425800939, 'support': 2560.0}, 'weighted avg': {'precision': 0.917220222513089, 'recall': 0.9125, 'f1-score': 0.9145474314353571, 'support': 2560.0}}",,
C_full_t+6,RandomForest,C_full,t+6,0.94609375,0.9459551467318809,0.94609375,0.9459466853488141,0.8876162665565323,"[[ 418   62    0]
 [  76  284    0]
 [   0    0 1720]]","{'Low': {'precision': 0.8461538461538461, 'recall': 0.8708333333333333, 'f1-score': 0.8583162217659137, 'support': 480.0}, 'Medium': {'precision': 0.8208092485549133, 'recall': 0.7888888888888889, 'f1-score': 0.8045325779036827, 'support': 360.0}, 'High': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1720.0}, 'accuracy': 0.94609375, 'macro avg': {'precision': 0.8889876982362531, 'recall': 0.8865740740740741, 'f1-score': 0.8876162665565323, 'support': 2560.0}, 'weighted avg': {'precision': 0.9459551467318809, 'recall': 0.94609375, 'f1-score': 0.9459466853488141, 'support': 2560.0}}",,
C_full_t+6,XGBoost,C_full,t+6,0.9390625,0.9390225129812929,0.9390625,0.9390409734246781,0.8735225476172551,"[[ 403   77    0]
 [  79  281    0]
 [   0    0 1720]]","{'Low': {'precision': 0.8360995850622407, 'recall': 0.8395833333333333, 'f1-score': 0.8378378378378378, 'support': 480.0}, 'Medium': {'precision': 0.7849162011173184, 'recall': 0.7805555555555556, 'f1-score': 0.7827298050139275, 'support': 360.0}, 'High': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1720.0}, 'accuracy': 0.9390625, 'macro avg': {'precision': 0.8736719287265197, 'recall': 0.8733796296296297, 'f1-score': 0.8735225476172551, 'support': 2560.0}, 'weighted avg': {'precision': 0.9390225129812929, 'recall': 0.9390625, 'f1-score': 0.9390409734246781, 'support': 2560.0}}",,
C_full_t+6,LSTM,C_full,t+6,0.916015625,0.9174782319920209,0.916015625,0.9161262339209832,0.8379867182427732,"[[ 425   55    0]
 [ 109  240   11]
 [   0   40 1680]]","{'Low': {'precision': 0.795880149812734, 'recall': 0.8854166666666666, 'f1-score': 0.8382642998027613, 'support': 480.0}, 'Medium': {'precision': 0.7164179104477612, 'recall': 0.6666666666666666, 'f1-score': 0.6906474820143885, 'support': 360.0}, 'High': {'precision': 0.9934949733885275, 'recall': 0.9767441860465116, 'f1-score': 0.9850483729111698, 'support': 1720.0}, 'accuracy': 0.916015625, 'macro avg': {'precision': 0.8352643445496742, 'recall': 0.8429425064599482, 'f1-score': 0.8379867182427732, 'support': 2560.0}, 'weighted avg': {'precision': 0.9174782319920209, 'recall': 0.916015625, 'f1-score': 0.9161262339209832, 'support': 2560.0}}",0.9892019629478455,0.9912587404251099
